x1,x2
0.28,1.22
-0.27,0.11
-0.81,0.49
-0.49,-1.38
0.71,-0.31
1.42,-0.64
1.26,-0.05
1.26,0.58
1.26,0.58
0.88,0.82
0.04,0.75
-0.58,1.32
-0.94,0.44
-0.87,-0.29
-1.01,-0.71
-0.23,-1.07
0.35,-1.14
1.48,-1.21
1.15,-1.07
0.06,-0.31
0.60,0.66
0.84,1.48
-0.07,1.84
-1.03,1.84
-1.05,0.87
-1.10,-1.14
-1.12,-1.82
0.42,-1.82
1.93,-1.87
1.84,-0.90
1.86,-0.10
1.86,1.20
1.06,2.19
0.37,2.19
-0.76,2.28
-1.90,1.91
-1.92,1.10
-1.70,-0.22
-1.72,-1.26
-1.74,-2.49
0.39,-2.65
1.55,-2.60
-0.56,3.65
-1.94,3.30
-2.54,2.71
-2.83,1.46
-3.12,0.40
-3.19,-1.28
-2.92,-2.30
-1.99,-3.41
-0.54,-3.67
1.51,-3.85
2.22,-3.43
3.02,-2.08
3.02,-1.02
3.06,-0.10
2.75,0.94
2.37,2.02
1.02,2.90
2.35,2.80
0.57,3.65
-1.12,4.24
-2.41,3.61
-3.03,2.47
-3.57,1.25
-3.79,0.40
-3.94,-1.00
-3.70,-2.39
-3.10,-3.19
-2.05,-4.23
-0.92,-4.75
0.71,-4.68
2.84,-4.73
2.71,-4.35
3.24,-3.76
3.55,-3.05
3.75,-2.15
4.04,-0.64
3.64,0.63
3.51,1.91
2.75,3.25
2.22,3.44
0.88,4.34
0.33,4.34
-0.16,4.41
-2.01,4.46
-3.21,3.39
-3.88,1.60
-3.88,1.98
